"Dias desde o início da epidemia";"#BR: Acre";"#BR: Alagoas";"#BR: Amapá";"#BR: Amazonas";"#BR: Bahia";"#BR: Ceará";"#BR: Distrito Federal";"#BR: Espírito Santo";"#BR: Goiás";"#BR: Maranhão"
"Dia 1";0;0;0;0;0;0;0;0;0;0
"Dia 2";0;0;0;0;0;0;0;0;0;0
"Dia 3";0;0;0;0;0;0;0;0;0;0
"Dia 4";0;0;0;0;0;0;0;0;0;0
"Dia 5";0;0;0;0;0;0;0;0;0;0
"Dia 6";0;0;0;0;0;0;0;0;0;0
"Dia 7";0;0;0;1;0;0;0;0;0;0
"Dia 8";0;0;1;1;0;0;0;0;0;1
"Dia 9";0;1;2;1;0;0;0;0;0;1
"Dia 10";0;2;2;1;0;3;0;0;0;1
"Dia 11";0;2;2;1;0;3;0;0;1;1
"Dia 12";0;2;2;1;0;4;0;0;1;1
"Dia 13";0;2;2;3;0;5;0;0;1;1
"Dia 14";0;2;2;3;1;5;0;0;1;2
"Dia 15";1;2;3;3;1;7;0;1;1;2
"Dia 16";2;3;5;7;2;8;0;4;1;4
"Dia 17";2;3;5;12;2;20;1;5;1;11
"Dia 18";2;3;6;14;3;22;1;6;1;12
"Dia 19";2;3;7;19;5;22;3;6;2;16
"Dia 20";2;4;9;23;7;26;3;6;2;21
"Dia 21";3;5;10;30;9;29;4;6;3;24
"Dia 22";3;5;10;40;10;31;5;6;5;27
"Dia 23";3;7;11;50;12;43;7;7;5;32
"Dia 24";5;7;13;53;15;55;7;9;7;34
"Dia 25";5;15;13;62;19;58;10;9;7;37
"Dia 26";5;18;14;71;19;67;12;14;8;40
"Dia 27";6;19;16;90;21;74;12;17;10;44
"Dia 28";8;20;18;106;21;91;13;18;14;48
"Dia 29";8;22;19;124;22;107;14;22;15;54
"Dia 30";8;27;21;145;22;116;14;25;15;60
"Dia 31";10;29;26;161;27;124;14;28;15;66
"Dia 32";11;32;28;182;30;149;15;30;16;76
"Dia 33";11;34;31;185;36;176;17;33;16;88
"Dia 34";11;36;34;193;37;186;17;34;18;100
"Dia 35";14;41;37;207;45;198;20;34;18;112
"Dia 36";16;47;40;234;46;215;20;42;19;125
"Dia 37";17;53;43;255;47;233;24;42;19;145
"Dia 38";19;58;49;287;50;266;24;47;21;166
"Dia 39";19;64;55;304;59;284;24;51;23;184
"Dia 40";21;72;56;320;64;310;24;57;24;204
"Dia 41";24;80;61;351;70;327;25;64;25;224
"Dia 42";28;89;66;380;73;390;25;76;25;237
"Dia 43";29;98;69;425;76;403;26;83;26;249
"Dia 44";33;108;72;476;86;441;26;96;27;271
"Dia 45";36;114;73;501;96;482;27;102;27;291
"Dia 46";38;126;86;548;104;505;27;114;29;305
"Dia 47";39;138;94;584;117;614;28;122;29;330
"Dia 48";41;150;101;649;123;663;28;133;30;355
"Dia 49";45;164;103;751;123;712;30;145;30;379
"Dia 50";51;177;108;806;141;795;30;155;30;399
"Dia 51";52;187;119;874;146;848;31;165;38;423
"Dia 52";55;199;127;962;160;903;33;172;44;444
"Dia 53";57;210;136;1004;165;966;33;181;44;470
"Dia 54";59;221;142;1035;183;1062;33;196;47;496
"Dia 55";60;231;151;1098;196;1114;34;212;47;524
"Dia 56";67;251;157;1160;202;1189;35;233;47;549
"Dia 57";72;262;162;1235;211;1280;37;249;49;576
"Dia 58";76;280;163;1331;225;1389;39;260;52;604
"Dia 59";78;301;168;1375;236;1413;42;271;61;634
"Dia 60";80;316;173;1413;262;1476;44;285;64;663
"Dia 61";87;337;183;1433;281;1614;46;302;67;693
"Dia 62";92;354;198;1491;286;1641;48;325;69;722
"Dia 63";97;368;207;1561;295;1748;51;341;70;754
"Dia 64";105;385;215;1620;312;1856;55;363;73;784
"Dia 65";113;406;222;1669;326;1900;56;397;73;817
"Dia 66";122;424;228;1744;362;2161;59;417;78;853
"Dia 67";135;443;;1758;376;2251;66;446;85;887
"Dia 68";142;461;;1781;399;2308;72;465;93;911
"Dia 69";148;;;1852;413;2324;77;487;95;932
"Dia 70";161;;;1891;460;2493;84;511;95;955
"Dia 71";;;;1964;477;2603;90;538;96;976
"Dia 72";;;;2011;495;2671;95;560;104
"Dia 73";;;;2047;531;2733;104;583;108
"Dia 74";;;;2052;570;2859;114;604;115
"Dia 75";;;;2071;609;2956;124;614;119
"Dia 76";;;;;638;3010;133;;122
"Dia 77";;;;;667;3188;142;;124
"Dia 78";;;;;701;;154;;127
"Dia 79";;;;;;;162
"Dia 80";;;;;;;170
"Dia 81";;;;;;;171
