"Dias desde o início da epidemia";"#BR: Rio Grande do Sul";"#BR: Rondônia";"#BR: Roraima";"#BR: Santa Catarina";"#BR: São Paulo";"#BR: Sergipe";"#BR: Tocantins"
"Dia 1";0;0;0;0;0;0;0
"Dia 2";0;0;0;0;0;0;0
"Dia 3";0;0;0;0;0;0;0
"Dia 4";0;0;0;0;0;0;0
"Dia 5";0;1;0;0;0;0;0
"Dia 6";0;1;0;0;0;0;0
"Dia 7";0;1;0;0;0;0;0
"Dia 8";0;1;0;0;0;0;0
"Dia 9";0;1;1;0;0;0;0
"Dia 10";0;1;1;0;0;2;0
"Dia 11";0;1;1;0;0;2;0
"Dia 12";0;2;1;0;0;2;0
"Dia 13";1;2;3;1;0;3;0
"Dia 14";1;2;3;1;0;4;0
"Dia 15";2;2;3;1;1;4;0
"Dia 16";2;2;3;1;4;4;1
"Dia 17";2;2;3;1;4;4;1
"Dia 18";3;2;3;2;9;4;1
"Dia 19";4;3;3;2;15;4;1
"Dia 20";4;3;3;2;22;4;1
"Dia 21";5;3;3;5;30;4;1
"Dia 22";5;4;3;5;40;4;2
"Dia 23";6;4;3;10;48;5;2
"Dia 24";7;4;3;10;58;5;2
"Dia 25";7;5;3;11;68;5;2
"Dia 26";8;5;3;15;84;5;2
"Dia 27";9;5;3;17;98;7;2
"Dia 28";12;7;3;18;113;8;3
"Dia 29";14;10;4;21;136;8;3
"Dia 30";15;10;4;24;164;9;3
"Dia 31";16;11;6;24;188;9;4
"Dia 32";16;15;6;26;219;10;4
"Dia 33";18;16;7;28;260;11;6
"Dia 34";19;18;8;29;275;12;7
"Dia 35";19;23;9;30;304;12;9
"Dia 36";22;24;11;31;371;14;9
"Dia 37";24;25;11;32;428;14;9
"Dia 38";24;29;11;35;496;14;9
"Dia 39";27;33;13;35;540;17;11
"Dia 40";27;37;14;37;560;21;12
"Dia 41";27;39;16;39;588;23;14
"Dia 42";29;41;18;42;608;25;21
"Dia 43";31;43;21;42;695;28;23
"Dia 44";34;47;24;42;778;33;24
"Dia 45";35;50;27;43;853;34;27
"Dia 46";42;50;29;44;928;37;31
"Dia 47";45;56;37;44;991;37;32
"Dia 48";50;62;40;46;1015;42;38
"Dia 49";51;69;49;48;1037;47;42
"Dia 50";58;74;51;52;1093;50;47
"Dia 51";62;77;60;52;1134;53;49
"Dia 52";65;87;61;55;1345;57;51
"Dia 53";74;90;64;59;1512;59;52
"Dia 54";79;101;72;63;1667;63;58
"Dia 55";87;106;81;63;1700;69;64
"Dia 56";90;115;81;64;1825;76;65
"Dia 57";91;121;84;65;2049;82;68
"Dia 58";95;121;86;69;2247;86;70
"Dia 59";97;133;102;73;2375;93;71
"Dia 60";105;137;102;73;2511;103;73
"Dia 61";111;142;102;78;2586;116;76
"Dia 62";120;145;108;79;2627;127
"Dia 63";126;151;110;81;2654;135
"Dia 64";132;156;116;83;2851;142
"Dia 65";142;159;116;85;3045;149
"Dia 66";144;;;91;3206;158
"Dia 67";151;;;94;3416;166
"Dia 68";161;;;98;3608
"Dia 69";166;;;100;3709
"Dia 70";172;;;103;3743
"Dia 71";176;;;105;3949
"Dia 72";180;;;109;4118
"Dia 73";197;;;121;4315
"Dia 74";203;;;126;4501
"Dia 75";209;;;131;4688
"Dia 76";213;;;134;4782
"Dia 77";218;;;136;4823
"Dia 78";224;;;143;5147
"Dia 79";232;;;146;5363
"Dia 80";;;;;5558
"Dia 81";;;;;5773
"Dia 82";;;;;6045
"Dia 83";;;;;6163
"Dia 84";;;;;6220
"Dia 85";;;;;6423
"Dia 86";;;;;6712
"Dia 87";;;;;6980
"Dia 88";;;;;7275
"Dia 89";;;;;7532
"Dia 90";;;;;7615
"Dia 91";;;;;7667
