"Data";"#BR: Mato Grosso";"#BR: Mato Grosso do Sul";"#BR: Minas Gerais";"#BR: Pará";"#BR: Paraíba";"#BR: Paraná";"#BR: Pernambuco";"#BR: Piauí";"#BR: Rio de Janeiro";"#BR: Rio Grande do Norte"
"2020-03-05 00:00:00";;;;;;;;;0
"2020-03-07 00:00:00";;;;;;;;;0
"2020-03-08 00:00:00";;;0;;;;;;0
"2020-03-10 00:00:00";;;;;;;;;0
"2020-03-11 00:00:00";;;;;;;;;0
"2020-03-12 00:00:00";;;;;;0;0;;0
"2020-03-13 00:00:00";;;0;;;;;;;0
"2020-03-14 00:00:00";;;;;;;;;0
"2020-03-15 00:00:00";;;;;;;;;0
"2020-03-16 00:00:00";;0;0;;;;;;0
"2020-03-17 00:00:00";;0;0;;;;0;;0
"2020-03-18 00:00:00";;0;0;;;0;;;0
"2020-03-19 00:00:00";;;0;0;0;0;0;;2
"2020-03-20 00:00:00";0;0;0;0;;0;0;0;0
"2020-03-21 00:00:00";0;0;0;;;0;;0;1;0
"2020-03-22 00:00:00";;0;0;0;;0;0;;0;0
"2020-03-23 00:00:00";;;0;0;0;0;0;0;1;0
"2020-03-24 00:00:00";0;0;0;;0;0;;;2
"2020-03-25 00:00:00";0;0;0;0;;0;1;0;0;0
"2020-03-26 00:00:00";0;0;0;0;0;0;2;0;3;0
"2020-03-27 00:00:00";;0;0;;0;2;1;;1;0
"2020-03-28 00:00:00";0;0;0;0;0;0;1;1;3;0
"2020-03-29 00:00:00";0;0;0;0;;0;0;0;4;1
"2020-03-30 00:00:00";0;0;1;0;0;1;1;2;1;0
"2020-03-31 00:00:00";0;1;1;0;0;0;0;1;5;0
"2020-04-01 00:00:00";0;0;1;1;1;0;2;;5;1
"2020-04-02 00:00:00";0;0;1;0;0;1;1;0;13;0
"2020-04-03 00:00:00";1;0;2;0;0;0;1;0;6;2
"2020-04-04 00:00:00";0;0;0;0;1;2;4;0;11;1
"2020-04-05 00:00:00";0;0;0;0;2;3;7;0;6;2
"2020-04-06 00:00:00";0;0;3;2;0;2;9;;7;0
"2020-04-07 00:00:00";0;1;2;2;0;4;4;0;18;1
"2020-04-08 00:00:00";0;0;3;1;0;2;12;1;17;3
"2020-04-09 00:00:00";1;0;1;1;3;5;10;1;16
"2020-04-10 00:00:00";0;0;2;2;4;3;9;1;25;0
"2020-04-11 00:00:00";1;0;0;1;0;1;7;0;8;2
"2020-04-12 00:00:00";0;0;3;3;2;4;13;0;15;2
"2020-04-13 00:00:00";1;2;3;2;0;1;17;1;18;2
"2020-04-14 00:00:00";0;0;4;4;3;5;13;0;36;1
"2020-04-15 00:00:00";0;0;3;2;5;2;28;0;41;1
"2020-04-16 00:00:00";1;1;3;3;3;3;17;0;35;1
"2020-04-17 00:00:00";0;0;2;2;2;1;26;0;41;3
"2020-04-18 00:00:00";0;0;4;7;0;4;19;1;46;1
"2020-04-19 00:00:00";0;0;0;1;3;2;11;1;15;1
"2020-04-20 00:00:00";1;0;2;1;3;3;18;2;20;2
"2020-04-21 00:00:00";;1;3;3;1;0;26;2;39;1
"2020-04-22 00:00:00";0;0;3;5;6;6;22;1;29;1
"2020-04-23 00:00:00";1;1;4;10;1;3;30;0;40;5
"2020-04-24 00:00:00";1;0;3;22;4;4;40;1;40;4
"2020-04-25 00:00:00";1;0;4;11;2;5;29;1;45;2
"2020-04-26 00:00:00";0;0;3;14;3;3;34;1;30;4
"2020-04-27 00:00:00";1;2;1;14;1;3;35;2;32;1
"2020-04-28 00:00:00";1;0;9;15;3;2;58;1;61;3
"2020-04-29 00:00:00";0;0;9;8;5;5;30;3;56;5
"2020-04-30 00:00:00";0;0;2;71;4;1;27;0;60;3
"2020-05-01 00:00:00";0;0;6;27;5;6;38;0;67;0
"2020-05-02 00:00:00";1;0;0;38;7;1;25;2;50;3
"2020-05-03 00:00:00";0;1;1;36;2;3;24;2;48;2
"2020-05-04 00:00:00";1;0;1;21;3;1;39;0;46;1
"2020-05-05 00:00:00";0;0;4;39;6;5;58;1;58;6
"2020-05-06 00:00:00";0;0;3;23;7;2;54;1;82;4
"2020-05-07 00:00:00";0;0;9;18;9;3;42;5;189;4
"2020-05-08 00:00:00";1;1;5;105;13;2;82;2;109;5
"2020-05-09 00:00:00";2;0;7;63;10;1;45;1;150;6
"2020-05-10 00:00:00";2;0;1;74;11;2;75;4;61;1
"2020-05-11 00:00:00";1;0;2;56;4;2;40;3;56;4
"2020-05-12 00:00:00";0;1;6;156;15;2;70;4;158;1
"2020-05-13 00:00:00";1;1;8;82;3;4;67;8;122;12
"2020-05-14 00:00:00";3;1;4;117;3;2;74;3;197;12
"2020-05-15 00:00:00";3;0;7;82;10;1;83;0;191;5
"2020-05-16 00:00:00";1;1;4;54;13;3;80;5;176;14
"2020-05-17 00:00:00";0;0;6;40;11;1;55;7;101;3
"2020-05-18 00:00:00";2;1;5;90;13;3;124;8;137;7
"2020-05-19 00:00:00";3;0;6;190;12;2;101;5;227;14
"2020-05-20 00:00:00";0;1;10;114;11;8;93;2;158;10
"2020-05-21 00:00:00";2;0;14;219;15;4;91;4;175;8
"2020-05-22 00:00:00";3;0;10;85;3;5;132;2;245;3
"2020-05-23 00:00:00";0;0;16;64;10;4;87;6;248;3
"2020-05-24 00:00:00";3;0;9;147;14;3;56;8;88;16
"2020-05-25 00:00:00";1;0;4;224;7;3;48;3;112;9
"2020-05-26 00:00:00";2;0;4;97;7;3;80;9;256;11
"2020-05-27 00:00:00";3;1;6;76;12;3;140;15;244;22
"2020-05-28 00:00:00";5;0;15;159;20;7;98;4;251;12
"2020-05-29 00:00:00";5;0;2;123;9;4;103;8;223;14
"2020-05-30 00:00:00";1;1;6;73;20;8;71;11;198;37
"2020-05-31 00:00:00";4;1;8;23;13;1;67;4;67
"2020-06-01 00:00:00";5;0;7;2;10;8;68;7;118;18
