"Data";"#BR: Rio Grande do Sul";"#BR: Rondônia";"#BR: Roraima";"#BR: Santa Catarina";"#BR: São Paulo";"#BR: Sergipe";"#BR: Tocantins"
"2020-02-26 00:00:00";;;;;0
"2020-02-29 00:00:00";;;;;0
"2020-03-04 00:00:00";;;;;0
"2020-03-05 00:00:00";;;;;0
"2020-03-06 00:00:00";;;;;0
"2020-03-07 00:00:00";;;;;0
"2020-03-08 00:00:00";;;;;0
"2020-03-10 00:00:00";0;;;;0
"2020-03-11 00:00:00";0;;;;0
"2020-03-12 00:00:00";0;;;;0
"2020-03-13 00:00:00";;;;0;0
"2020-03-14 00:00:00";0;;;0;0
"2020-03-15 00:00:00";;;;0;0;0
"2020-03-16 00:00:00";;;;0;0
"2020-03-17 00:00:00";0;;;;1;0
"2020-03-18 00:00:00";0;;;0;3;0
"2020-03-19 00:00:00";0;;;0;0;0;0
"2020-03-20 00:00:00";0;0;;0;5
"2020-03-21 00:00:00";0;;;0;6;0;0
"2020-03-22 00:00:00";0;0;0;0;7
"2020-03-23 00:00:00";0;;;0;8;;0
"2020-03-24 00:00:00";0;;;0;10;0;0
"2020-03-25 00:00:00";1;0;0;0;8;0
"2020-03-26 00:00:00";0;;;1;10
"2020-03-27 00:00:00";1;0;0;0;10;;0
"2020-03-28 00:00:00";0;;0;0;16;;0
"2020-03-29 00:00:00";0;;0;0;14
"2020-03-30 00:00:00";1;;;0;15;;0
"2020-03-31 00:00:00";1;1;;1;23;0;0
"2020-04-01 00:00:00";0;0;0;0;28;0;0
"2020-04-02 00:00:00";1;0;0;0;24;2
"2020-04-03 00:00:00";0;;0;3;31;0
"2020-04-04 00:00:00";1;0;1;0;41;0;0
"2020-04-05 00:00:00";1;0;0;5;15;1;0
"2020-04-06 00:00:00";0;0;;0;29;1
"2020-04-07 00:00:00";1;0;;1;67;0;0
"2020-04-08 00:00:00";1;;0;4;57;;0
"2020-04-09 00:00:00";3;1;0;2;68;0
"2020-04-10 00:00:00";2;0;2;1;44;0
"2020-04-11 00:00:00";1;0;0;3;20
"2020-04-12 00:00:00";1;0;0;3;28;0;0
"2020-04-13 00:00:00";0;0;0;0;20;;0
"2020-04-14 00:00:00";2;0;0;2;87;0
"2020-04-15 00:00:00";1;0;0;2;83;0;1
"2020-04-16 00:00:00";0;1;0;1;75;0;0
"2020-04-17 00:00:00";3;0;0;1;75;0;0
"2020-04-18 00:00:00";2;0;0;1;63;1;0
"2020-04-19 00:00:00";0;1;0;1;24;0
"2020-04-20 00:00:00";3;0;0;3;22;0;0
"2020-04-21 00:00:00";0;0;0;0;56;0;0
"2020-04-22 00:00:00";0;1;0;2;41;2
"2020-04-23 00:00:00";2;0;0;2;211;1;1
"2020-04-24 00:00:00";2;0;0;3;167;0;0
"2020-04-25 00:00:00";3;2;0;0;155;1;0
"2020-04-26 00:00:00";1;3;1;0;33;0;0
"2020-04-27 00:00:00";7;0;0;1;125;1;0
"2020-04-28 00:00:00";3;1;2;1;224;1;0
"2020-04-29 00:00:00";5;4;0;0;198;1;1
"2020-04-30 00:00:00";1;1;1;2;128;0;0
"2020-05-01 00:00:00";7;2;1;2;136;2;0
"2020-05-02 00:00:00";4;5;1;4;75;0;1
"2020-05-03 00:00:00";3;1;2;;41;0;0
"2020-05-04 00:00:00";9;1;0;0;27;3;2
"2020-05-05 00:00:00";5;4;0;3;197;4;1
"2020-05-06 00:00:00";8;4;2;4;194;2;2
"2020-05-07 00:00:00";3;4;1;4;161;2;0
"2020-05-08 00:00:00";1;2;2;0;210;3;0
"2020-05-09 00:00:00";4;2;2;1;192;5;0
"2020-05-10 00:00:00";2;2;3;1;101;1;2
"2020-05-11 00:00:00";8;4;3;4;34;3;1
"2020-05-12 00:00:00";6;3;3;4;206;0;2
"2020-05-13 00:00:00";;0;2;0;169;5;7
"2020-05-14 00:00:00";9;6;8;5;197;5;2
"2020-05-15 00:00:00";6;6;3;1;186;3;1
"2020-05-16 00:00:00";6;7;9;2;187;3;3
"2020-05-17 00:00:00";10;5;2;2;94;4;4
"2020-05-18 00:00:00";2;3;9;2;41;2;1
"2020-05-19 00:00:00";7;10;1;6;324;4;6
"2020-05-20 00:00:00";10;3;3;3;216;6;4
"2020-05-21 00:00:00";5;11;8;4;195;7;5
"2020-05-22 00:00:00";6;5;9;2;215;6;2
"2020-05-23 00:00:00";4;9;0;3;272;4;2
"2020-05-24 00:00:00";4;6;3;2;118;7;1
"2020-05-25 00:00:00";17;0;2;4;57;10;6
"2020-05-26 00:00:00";6;12;16;12;203;13;6
"2020-05-27 00:00:00";6;4;0;5;289;11;1
"2020-05-28 00:00:00";4;5;0;5;268;8;3
"2020-05-29 00:00:00";;3;6;3;295;7;2
"2020-05-30 00:00:00";5;6;2;2;257;7;1
"2020-05-31 00:00:00";6;5;6;7;83;9;2
"2020-06-01 00:00:00";8;3;0;3;52;8;3
