"Dias desde o início da epidemia";"#BR: Mato Grosso";"#BR: Mato Grosso do Sul";"#BR: Minas Gerais";"#BR: Pará";"#BR: Paraíba";"#BR: Paraná";"#BR: Pernambuco";"#BR: Piauí";"#BR: Rio de Janeiro";"#BR: Rio Grande do Norte"
"Dia 1";1;2;1;1;1;6;2;3;1;1
"Dia 2";2;4;2;2;2;13;16;4;2;6
"Dia 3";7;7;5;4;3;23;28;6;3;9
"Dia 4";8;9;7;5;5;32;30;8;8;13
"Dia 5";11;16;15;7;9;43;37;9;13;14
"Dia 6";13;21;29;13;14;50;42;11;16;19
"Dia 7";16;23;35;17;15;56;46;14;22;28
"Dia 8";18;24;38;18;17;65;48;16;24;45
"Dia 9";25;25;83;21;20;81;56;18;31;68
"Dia 10";27;28;128;32;21;102;68;19;33;77
"Dia 11";36;31;130;40;29;119;73;21;45;82
"Dia 12";44;36;133;46;32;133;78;22;65;92
"Dia 13";56;44;153;50;34;148;87;23;109;105
"Dia 14";60;48;189;80;35;155;95;28;119;176
"Dia 15";76;51;205;86;36;179;106;31;186;212
"Dia 16";78;53;231;102;41;224;136;38;233;242
"Dia 17";90;60;261;138;55;252;176;40;305;246
"Dia 18";108;62;275;167;79;301;201;41;370;254
"Dia 19";112;65;314;168;85;395;223;44;421;261
"Dia 20";121;66;370;170;101;438;352;50;493;263
"Dia 21";123;80;397;217;111;458;401;58;558;289
"Dia 22";134;85;430;246;136;503;555;75;600;302
"Dia 23";138;89;498;270;151;539;684;91;657;339
"Dia 24";151;97;525;323;165;609;816;102;708;376
"Dia 25";156;100;559;384;195;643;960;123;832;399
"Dia 26";162;101;614;438;205;676;1154;145;992;400
"Dia 27";171;113;655;557;236;738;1284;158;1074;463
"Dia 28";174;115;698;640;245;756;1484;186;1246;516
"Dia 29";181;121;750;685;263;791;1683;206;1394;531
"Dia 30";183;131;806;902;301;803;2006;217;1461;595
"Dia 31";221;143;815;1026;345;832;2193;256;1688;608
"Dia 32";240;161;884;1195;386;874;2459;297;1938;646
"Dia 33";247;168;903;1267;447;945;2690;331;2216;708
"Dia 34";250;171;958;1446;499;987;2908;364;2464;754
"Dia 35";257;173;1021;1579;543;1007;3298;408;2607;781
"Dia 36";261;175;1077;1867;633;1024;3519;454;2855;825
"Dia 37";292;186;1154;2128;699;1063;3999;513;3231;832
"Dia 38";297;213;1189;2262;814;1082;4507;600;3410;857
"Dia 39";320;217;1230;2422;926;1119;4898;665;3743;1086
"Dia 40";331;234;1283;2876;1034;1140;5358;742;3944;1177
"Dia 41";337;238;1308;3176;1169;1156;5724;784;4349;1297
"Dia 42";344;240;1419;3460;1219;1186;6194;875;4543;1366
"Dia 43";365;249;1481;3863;1361;1271;6876;949;4765;1392
"Dia 44";379;255;1548;4125;1493;1348;7334;1051;4899;1421
"Dia 45";417;261;1586;4472;1657;1407;8145;1131;5306;1536
"Dia 46";457;266;1649;5017;2031;1447;8643;1233;5552;1574
"Dia 47";502;272;1758;5524;2156;1492;8863;1278;6172;1739
"Dia 48";519;274;1827;6141;2341;1514;9325;1332;6282;1821
"Dia 49";541;283;1935;6775;2525;1562;9881;1443;6828;1919
"Dia 50";591;288;2023;7256;2777;1588;10824;1612;7111;1928
"Dia 51";661;311;2118;7563;3045;1627;11587;1784;7944;1989
"Dia 52";719;326;2347;8616;3361;1656;12470;1905;8504;2033
"Dia 53";779;346;2452;9618;3739;1711;13275;2085;8869;2367
"Dia 54";851;362;2605;10867;4063;1785;13768;2252;9453;2537
"Dia 55";901;385;2770;12109;4347;1835;14309;2287;10166;2786
"Dia 56";937;405;2943;13184;4786;1849;14901;2440;10546;3004
"Dia 57";995;430;3123;13864;5300;1906;15588;2637;11139;3137
"Dia 58";1054;452;3237;14734;5838;1996;16209;2852;11721;3184
"Dia 59";1172;479;3320;16295;6238;2063;18488;3074;12391;3483
"Dia 60";1220;508;3435;18135;6882;2139;19452;3258;13295;3796
"Dia 61";1352;570;3733;19756;7508;2242;20094;3390;14156;4060
"Dia 62";1462;613;3950;21469;7823;2286;21242;3550;15741;4251
"Dia 63";1500;642;4196;22697;8016;2360;22560;3720;16929;4599
"Dia 64";1628;693;4474;24125;8919;2481;23911;3966;17062;4697
"Dia 65";1839;746;4611;26077;10209;2616;25760;4243;17939;4759
"Dia 66";1951;805;4695;28600;11132;2810;26786;4503;18486;5472
"Dia 67";2103;858;4977;31033;12011;2939;27759;4745;18728;5630
"Dia 68";2361;924;5286;33699;12862;3099;28366;4931;19467;5630
"Dia 69";2429;1023;5596;36486;13162;3212;28854;5119;19987;6463
"Dia 70";2541;1100;5995;37296;13695;3331;29919;;21601;7402
"Dia 71";;1186;6338;37961;;3512;30713;;22238;7964
"Dia 72";;1262;6668;38046;;3712;32255;;26665
"Dia 73";;1356;6962;;;3984;33427;;27805
"Dia 74";;1418;7516;;;4236;34450;;30372
"Dia 75";;1489;8011;;;4473;34900;;32089
"Dia 76";;1568;8686;;;4687;;;33589
"Dia 77";;;9232;;;4835;;;34533
"Dia 78";;;9630;;;;;;37912
"Dia 79";;;10464;;;;;;39298
"Dia 80";;;10670;;;;;;40024
"Dia 81";;;;;;;;;42398
"Dia 82";;;;;;;;;44886
"Dia 83";;;;;;;;;47953
"Dia 84";;;;;;;;;52420
"Dia 85";;;;;;;;;53388
"Dia 86";;;;;;;;;54530
