"Dias desde o início da epidemia";"#BR: Rio Grande do Sul";"#BR: Rondônia";"#BR: Roraima";"#BR: Santa Catarina";"#BR: São Paulo";"#BR: Sergipe";"#BR: Tocantins"
"Dia 1";1;1;2;2;1;1;1
"Dia 2";2;3;8;4;2;4;2
"Dia 3";4;5;10;6;3;5;5
"Dia 4";6;6;12;7;6;6;7
"Dia 5";10;8;16;10;10;10;8
"Dia 6";19;9;22;20;13;15;9
"Dia 7";28;10;26;21;16;16;10
"Dia 8";37;11;30;51;19;19;11
"Dia 9";60;12;37;57;30;20;12
"Dia 10";72;14;42;68;42;23;14
"Dia 11";86;18;49;107;56;25;17
"Dia 12";98;28;52;109;65;27;19
"Dia 13";123;32;63;122;136;32;23
"Dia 14";168;33;75;149;152;32;25
"Dia 15";195;35;79;184;164;36;26
"Dia 16";197;42;83;194;240;39;26
"Dia 17";226;64;113;197;286;42;29
"Dia 18";241;69;114;219;396;44;31
"Dia 19";274;76;142;235;459;45;33
"Dia 20";306;92;164;247;631;46;34
"Dia 21";334;110;201;281;745;48;37
"Dia 22";396;128;222;334;810;53;37
"Dia 23";410;160;244;357;862;71;43
"Dia 24";418;199;247;379;1052;83;50
"Dia 25";481;223;280;417;1223;86;58
"Dia 26";508;250;297;457;1406;92;67
"Dia 27";555;290;304;501;1451;117;79
"Dia 28";618;328;345;693;1517;124;116
"Dia 29";636;364;401;732;2339;144;137
"Dia 30";640;393;407;768;2981;153;164
"Dia 31";653;413;425;777;3506;159;191
"Dia 32";664;433;452;826;4048;197;246
"Dia 33";700;502;519;853;4466;280;267
"Dia 34";747;585;602;884;4620;337;303
"Dia 35";780;653;668;926;4866;447;351
"Dia 36";802;705;740;962;5682;517;423
"Dia 37";831;756;806;975;6708;601;494
"Dia 38";854;861;869;1025;7480;730;572
"Dia 39";889;943;932;1063;8216;772;688
"Dia 40";904;1098;1020;1091;8419;898;747
"Dia 41";923;1222;1124;1115;8755;998;828
"Dia 42";994;1263;1202;1170;8895;1214;932
"Dia 43";1061;1302;1290;1209;9371;1438;1029
"Dia 44";1096;1396;1295;1235;11043;1588;1179
"Dia 45";1166;1460;1328;1337;11568;1771;1279
"Dia 46";1228;1612;1411;1476;12841;1800;1382
"Dia 47";1286;1686;1500;1995;13894;2032;1496
"Dia 48";1368;1789;1589;2085;14267;2268;1646
"Dia 49";1466;1919;1706;2104;14580;2494;1809
"Dia 50";1529;1963;1791;2346;15385;2868;1976
"Dia 51";1619;2043;1876;2519;15914;3135;2205
"Dia 52";1666;2257;1985;2623;16740;3343;2430
"Dia 53";1711;2499;2067;2917;17826;3566;2591
"Dia 54";1815;2659;2146;3082;20004;3967;2696
"Dia 55";2050;2774;2306;3205;20715;4277;2858
"Dia 56";2129;3109;2374;3372;21696;4734;3023
"Dia 57";2447;3201;2439;3429;24041;4922;3277
"Dia 58";2493;3268;2514;3529;26158;5131;3611
"Dia 59";2542;3493;2583;3733;28698;5314;3981
"Dia 60";2576;3862;2682;3828;30374;5448;4176
"Dia 61";2917;4252;2959;4332;31174;5735;4345
"Dia 62";2997;4502;3098;4562;31772;5912
"Dia 63";3597;4743;3299;4678;32187;6156
"Dia 64";3695;4942;3474;4776;34053;6462
"Dia 65";3735;5172;3692;5175;37853;6805
"Dia 66";3735;;;5413;39928;6999
"Dia 67";3750;;;5499;41830;7233
"Dia 68";4973;;;5610;44411
"Dia 69";5473;;;6458;45444
"Dia 70";5918;;;6607;46131
"Dia 71";6336;;;6696;47719
"Dia 72";6470;;;6875;51097
"Dia 73";6559;;;7016;54286
"Dia 74";6785;;;7372;58378
"Dia 75";7048;;;8000;61183
"Dia 76";8234;;;8530;62345
"Dia 77";9242;;;8778;63066
"Dia 78";9332;;;9037;65995
"Dia 79";9332;;;9498;69859
"Dia 80";;;;;73739
"Dia 81";;;;;76871
"Dia 82";;;;;80558
"Dia 83";;;;;82161
"Dia 84";;;;;83625
"Dia 85";;;;;86017
"Dia 86";;;;;89483
"Dia 87";;;;;95865
"Dia 88";;;;;101556
"Dia 89";;;;;107142
"Dia 90";;;;;109698
"Dia 91";;;;;111296
