"Data";"#BR: Acre";"#BR: Alagoas";"#BR: Amapá";"#BR: Amazonas";"#BR: Bahia";"#BR: Ceará";"#BR: Distrito Federal";"#BR: Espírito Santo";"#BR: Goiás";"#BR: Maranhão"
"2020-03-06 00:00:00";;;;;1;;;1
"2020-03-07 00:00:00";;;;;1;;1
"2020-03-08 00:00:00";;1
"2020-03-11 00:00:00";;;;;;;1
"2020-03-13 00:00:00";;;;;;;;;3
"2020-03-14 00:00:00";;;;;;;4
"2020-03-15 00:00:00";;;;1;;;2
"2020-03-16 00:00:00";;;;;;;5
"2020-03-17 00:00:00";;;;;1;5;9;;3
"2020-03-18 00:00:00";;;;;;4;4;8;2
"2020-03-19 00:00:00";3;3;;2;27;11;16;2;4
"2020-03-20 00:00:00";4;1;1;;3;35;45;2;3
"2020-03-21 00:00:00";2;2;;8;8;13;13;13;5;1
"2020-03-22 00:00:00";2;;;15;8;44;17;;1;1
"2020-03-23 00:00:00";;;;6;14;51;16;3;2
"2020-03-24 00:00:00";6;2;;15;13;19;27;4;4;6
"2020-03-25 00:00:00";6;2;;7;8;18;;6;2
"2020-03-26 00:00:00";1;;1;13;20;35;40;;10;2
"2020-03-27 00:00:00";1;;;14;11;47;30;8;10;3
"2020-03-28 00:00:00";;3;2;30;12;32;30;6;7;1
"2020-03-29 00:00:00";9;3;;29;27;34;29;7;2;2
"2020-03-30 00:00:00";8;;4;11;22;24;23;12;3;7
"2020-03-31 00:00:00";;1;2;24;37;18;20;12;4;8
"2020-04-01 00:00:00";1;;1;25;33;54;23;12;6;21
"2020-04-02 00:00:00";;;;29;21;106;15;24;2;19
"2020-04-03 00:00:00";3;4;8;31;15;77;32;19;15;10
"2020-04-04 00:00:00";;1;9;51;50;103;52;14;15;7
"2020-04-05 00:00:00";2;5;1;106;69;93;14;13;12;8
"2020-04-06 00:00:00";2;3;5;115;30;190;5;28;4;37
"2020-04-07 00:00:00";0;1;14;104;25;38;19;15;14;39
"2020-04-08 00:00:00";4;5;59;168;41;240;17;18;25;58
"2020-04-09 00:00:00";8;0;21;95;62;134;18;46;21;43
"2020-04-10 00:00:00";8;8;38;82;45;53;28;27;12;20
"2020-04-11 00:00:00";2;3;27;69;31;104;24;49;18;51
"2020-04-12 00:00:00";5;;37;156;38;94;35;34;20;54
"2020-04-13 00:00:00";13;2;12;69;50;124;24;47;4;47
"2020-04-14 00:00:00";9;22;65;209;36;205;13;33;51;33
"2020-04-15 00:00:00";2;10;27;70;48;152;31;94;20;152
"2020-04-16 00:00:00";9;7;28;165;144;229;34;197;14;65
"2020-04-17 00:00:00";25;21;8;90;108;298;30;102;17;102
"2020-04-18 00:00:00";7;22;23;88;134;350;16;96;43;243
"2020-04-19 00:00:00";21;27;23;147;37;218;65;147;15;165
"2020-04-20 00:00:00";13;12;17;116;111;230;45;69;10;115
"2020-04-21 00:00:00";19;39;24;110;148;234;9;44;18;76
"2020-04-22 00:00:00";19;33;22;209;155;194;65;101;17;208
"2020-04-23 00:00:00";13;81;69;409;145;688;17;50;15;153
"2020-04-24 00:00:00";7;89;85;306;173;202;26;18;33;194
"2020-04-25 00:00:00";24;88;52;441;119;621;24;214;20;154
"2020-04-26 00:00:00";21;53;113;198;128;412;53;108;67;118
"2020-04-27 00:00:00";0;89;44;95;145;893;80;93;43;187
"2020-04-28 00:00:00";32;134;76;409;186;192;67;78;45;118
"2020-04-29 00:00:00";43;180;98;464;106;349;62;233;44;276
"2020-04-30 00:00:00";50;87;64;453;205;339;81;358;76;386
"2020-05-01 00:00:00";82;182;41;469;234;273;110;197;27;316
"2020-05-02 00:00:00";67;146;66;339;182;352;100;286;17;299
"2020-05-03 00:00:00";104;69;295;621;228;139;83;138;25;235
"2020-05-04 00:00:00";76;97;251;559;239;2670;119;140;11;187
"2020-05-05 00:00:00";84;68;198;867;306;430;50;176;61;303
"2020-05-06 00:00:00";126;97;115;1134;261;834;88;166;102;498
"2020-05-07 00:00:00";71;164;153;856;227;1584;352;270;3;361
"2020-05-08 00:00:00";163;166;123;628;290;1068;184;404;26;520
"2020-05-09 00:00:00";158;139;171;1198;356;923;134;170;16;856
"2020-05-10 00:00:00";112;86;120;674;384;813;106;187;24;834
"2020-05-11 00:00:00";13;85;58;320;250;907;101;220;7;545
"2020-05-12 00:00:00";130;237;239;1249;396;813;196;268;15;382
"2020-05-13 00:00:00";104;181;95;1648;343;744;213;314;19;586
"2020-05-14 00:00:00";46;211;423;1365;408;1921;224;412;289;689
"2020-05-15 00:00:00";45;240;202;1211;1173;1413;371;385;149;938
"2020-05-16 00:00:00";82;381;204;1285;186;1305;353;397;68;853
"2020-05-17 00:00:00";130;223;118;651;129;460;228;149;52;900
"2020-05-18 00:00:00";237;215;71;585;138;2108;251;413;57;746
"2020-05-19 00:00:00";248;285;287;1219;2432;1749;234;536;97;960
"2020-05-20 00:00:00";335;121;239;1572;184;2448;308;399;132;916
"2020-05-21 00:00:00";286;479;639;1663;744;853;381;786;136;944
"2020-05-22 00:00:00";240;386;467;1671;616;3160;406;642;190;1154
"2020-05-23 00:00:00";524;328;436;1764;443;549;303;398;73;1555
"2020-05-24 00:00:00";293;584;262;1065;899;473;387;89;66;2424
"2020-05-25 00:00:00";341;468;231;415;305;590;292;358;69;1595
"2020-05-26 00:00:00";280;376;383;1667;362;836;280;524;159;1492
"2020-05-27 00:00:00";470;522;652;1559;504;254;551;595;172;1867
"2020-05-28 00:00:00";349;475;533;2638;893;546;539;719;247;1834
"2020-05-29 00:00:00";241;563;317;2763;954;574;422;700;229;2503
"2020-05-30 00:00:00";231;605;844;1651;709;8111;752;534;266;2138
"2020-05-31 00:00:00";147;1065;289;818;766;1983;306;253;117;2019
"2020-06-01 00:00:00";107;549;288;396;506;2015;730;379;204;658
