"Data";"#BR: Mato Grosso";"#BR: Mato Grosso do Sul";"#BR: Minas Gerais";"#BR: Pará";"#BR: Paraíba";"#BR: Paraná";"#BR: Pernambuco";"#BR: Piauí";"#BR: Rio de Janeiro";"#BR: Rio Grande do Norte"
"2020-03-05 00:00:00";;;;;;;;;1
"2020-03-07 00:00:00";;;;;;;;;1
"2020-03-08 00:00:00";;;1;;;;;;1
"2020-03-10 00:00:00";;;;;;;;;5
"2020-03-11 00:00:00";;;;;;;;;5
"2020-03-12 00:00:00";;;;;;6;2;;3
"2020-03-13 00:00:00";;;1;;;;;;;1
"2020-03-14 00:00:00";;;;;;;;;6
"2020-03-15 00:00:00";;;;;;;;;2
"2020-03-16 00:00:00";;2;3;;;;;;7
"2020-03-17 00:00:00";;2;2;;;;14;;2
"2020-03-18 00:00:00";;3;8;;;7;;;12
"2020-03-19 00:00:00";;;14;1;1;10;12;;20
"2020-03-20 00:00:00";1;2;6;1;;9;2;3;44
"2020-03-21 00:00:00";1;7;3;;;11;;1;10;5
"2020-03-22 00:00:00";;5;45;2;;7;7;;67;3
"2020-03-23 00:00:00";;;45;1;1;6;5;2;47;4
"2020-03-24 00:00:00";5;2;2;;1;9;;;72
"2020-03-25 00:00:00";1;1;3;2;;16;4;2;65;1
"2020-03-26 00:00:00";3;1;20;6;2;21;2;1;51;5
"2020-03-27 00:00:00";;3;36;;4;17;8;;72;9
"2020-03-28 00:00:00";2;3;16;4;5;14;12;2;65;17
"2020-03-29 00:00:00";3;5;26;1;;15;5;3;42;23
"2020-03-30 00:00:00";2;8;30;3;1;7;5;2;57;9
"2020-03-31 00:00:00";7;4;14;11;2;24;9;2;51;5
"2020-04-01 00:00:00";2;3;39;8;3;45;8;;124;10
"2020-04-02 00:00:00";9;2;56;6;1;28;11;1;160;13
"2020-04-03 00:00:00";8;7;27;4;8;49;30;2;82;71
"2020-04-04 00:00:00";12;2;33;30;3;94;40;1;172;36
"2020-04-05 00:00:00";4;3;68;6;2;43;25;1;148;30
