"Data";"#BR: Rio Grande do Sul";"#BR: Rondônia";"#BR: Roraima";"#BR: Santa Catarina";"#BR: São Paulo";"#BR: Sergipe";"#BR: Tocantins"
"2020-02-26 00:00:00";;;;;1
"2020-02-29 00:00:00";;;;;1
"2020-03-04 00:00:00";;;;;1
"2020-03-05 00:00:00";;;;;3
"2020-03-06 00:00:00";;;;;4
"2020-03-07 00:00:00";;;;;3
"2020-03-08 00:00:00";;;;;3
"2020-03-10 00:00:00";1;;;;3
"2020-03-11 00:00:00";1;;;;11
"2020-03-12 00:00:00";2;;;;12
"2020-03-13 00:00:00";;;;2;14
"2020-03-14 00:00:00";2;;;2;9
"2020-03-15 00:00:00";;;;2;71;1
"2020-03-16 00:00:00";;;;1;16
"2020-03-17 00:00:00";4;;;;12;3
"2020-03-18 00:00:00";9;;;3;76;1
"2020-03-19 00:00:00";9;;;10;46;1;1
"2020-03-20 00:00:00";9;1;;1;110
"2020-03-21 00:00:00";23;;;30;63;4;1
"2020-03-22 00:00:00";12;2;2;6;172
"2020-03-23 00:00:00";14;;;11;114;;3
"2020-03-24 00:00:00";12;;;39;65;5;2
"2020-03-25 00:00:00";25;2;6;2;52;1
"2020-03-26 00:00:00";45;;;13;190
"2020-03-27 00:00:00";27;1;2;27;171;;1
"2020-03-28 00:00:00";2;;2;35;183;;1
"2020-03-29 00:00:00";29;;4;10;45
"2020-03-30 00:00:00";15;;;3;66;;1
"2020-03-31 00:00:00";33;2;;22;822;3;1
"2020-04-01 00:00:00";32;1;6;16;642;1;1
"2020-04-02 00:00:00";28;1;4;12;525;3
"2020-04-03 00:00:00";62;;4;34;542;2
"2020-04-04 00:00:00";14;1;7;53;418;2;2
"2020-04-05 00:00:00";8;1;5;23;154;5;3
"2020-04-06 00:00:00";63;2;;22;246;0
"2020-04-07 00:00:00";27;4;;38;816;4;2
"2020-04-08 00:00:00";47;;7;40;1026;;4
"2020-04-09 00:00:00";63;10;3;44;772;3
"2020-04-10 00:00:00";18;4;11;192;736;3
"2020-04-11 00:00:00";4;1;12;39;203
"2020-04-12 00:00:00";13;2;4;36;336;2;2
"2020-04-13 00:00:00";11;7;4;9;140;;1
"2020-04-14 00:00:00";36;22;30;49;476;1
"2020-04-15 00:00:00";47;5;1;27;1672;1;0
"2020-04-16 00:00:00";33;7;28;31;525;2;3
"2020-04-17 00:00:00";22;16;22;42;1273;5;2
"2020-04-18 00:00:00";29;18;37;36;1053;18;2
"2020-04-19 00:00:00";23;18;21;13;373;12
"2020-04-20 00:00:00";35;32;22;50;313;3;1
"2020-04-21 00:00:00";15;39;3;38;805;6;3
"2020-04-22 00:00:00";19;24;33;28;529;25
"2020-04-23 00:00:00";71;27;17;24;826;7;0
"2020-04-24 00:00:00";67;40;7;55;1086;20;6
"2020-04-25 00:00:00";35;38;41;39;2178;9;7
"2020-04-26 00:00:00";70;36;56;26;711;6;8
"2020-04-27 00:00:00";62;29;6;102;981;38;9
"2020-04-28 00:00:00";58;20;18;139;2345;83;12
"2020-04-29 00:00:00";82;20;27;519;2117;57;37
"2020-04-30 00:00:00";98;69;67;90;2540;110;21
"2020-05-01 00:00:00";63;83;83;19;1676;70;27
"2020-05-02 00:00:00";90;68;66;242;800;84;27
"2020-05-03 00:00:00";47;52;72;;598;129;55
"2020-05-04 00:00:00";45;51;66;173;415;42;21
"2020-05-05 00:00:00";104;105;63;104;1866;126;36
"2020-05-06 00:00:00";235;82;63;294;3800;100;48
"2020-05-07 00:00:00";79;155;88;165;2075;216;72
"2020-05-08 00:00:00";318;124;104;123;1902;224;71
"2020-05-09 00:00:00";46;41;78;167;2581;150;78
"2020-05-10 00:00:00";49;39;88;57;1033;183;116
"2020-05-11 00:00:00";34;94;5;100;687;29;59
"2020-05-12 00:00:00";341;64;33;204;1588;232;81
"2020-05-13 00:00:00";;152;83;95;3378;236;104
"2020-05-14 00:00:00";80;74;89;504;3189;226;97
"2020-05-15 00:00:00";600;103;89;230;4092;374;150
"2020-05-16 00:00:00";98;130;117;116;2805;267;100
"2020-05-17 00:00:00";40;44;85;98;1162;208;103
"2020-05-18 00:00:00";0;80;85;399;721;223;114
"2020-05-19 00:00:00";15;214;109;238;2929;401;150
"2020-05-20 00:00:00";1223;242;82;86;3864;310;163
"2020-05-21 00:00:00";500;160;79;111;3880;457;167
"2020-05-22 00:00:00";445;115;160;848;3132;188;229
"2020-05-23 00:00:00";418;335;68;149;3687;209;225
"2020-05-24 00:00:00";134;92;65;89;1603;183;161
"2020-05-25 00:00:00";89;67;75;179;1464;134;105
"2020-05-26 00:00:00";226;225;69;141;2392;287;162
"2020-05-27 00:00:00";263;369;99;356;3466;177;165
"2020-05-28 00:00:00";1186;390;277;628;6382;244;254
"2020-05-29 00:00:00";;250;139;530;5691;306;334
"2020-05-30 00:00:00";1008;241;201;248;5586;343;370
"2020-05-31 00:00:00";90;199;175;259;2556;194;195
"2020-06-01 00:00:00";0;230;218;461;1598;234;169
